q_id;Sezione;Tipo_Domanda;Testo_Originale;Testo_Migliorato;Tipo_Risposta;Opzioni_Risposta;Logica_Condizionale;Obiettivo;Suggerimento_Miglioramento;
Q9C_bis;Criteri di scelta;Aperta, opzionale;Qual è per te il fattore più importante nella scelta di un cinema?;descrivi in una breve frase il perché;campo aperto opzionale;campo 'Descrivi in una frase il perché';Mostrare dopo Q9C per approfondire il fattore principale;Isolare il singolo value driver per definire la proposta di valore del prodotto;Forzare la scelta singola rivela il vero trade-off nei criteri decisionali. La formulazione 'UN SOLO fattore' è volutamente vincolante e più rivelante di una scala. Usare come input diretto per la definizione del Full Life Cycle Use Case (step 5 Disciplined Entrepreneurship).;
Q10C;Rilevanza funzionalità (Cinema);Matrice Likert 5 punti;Elenco delle funzioni: quanto le persone le ritengono rilevanti (scala Likert a 5 punti in matrice);Quanto ritieni utile ciascuna delle seguenti funzionalità in un'app/servizio per scegliere il cinema? ;Matrice Likert 1–5 (1=Per niente utile, 5=Indispensabile);Scheda dettagliata della sala (comfort, schermi, posti) | Qualità audio/video certificata | Info accessibilità (disabili, loop magnetico, sottotitoli) | Mappa e indicazioni stradali | Orari e disponibilità biglietti in tempo reale | Acquisto biglietti integrato e facilitato | Gestione di biglietti di gruppo / Acquisto condiviso (per facilitare l’organizzazione tra amici e dividere i costi) | Trailer e sinossi del film in cartellone | Recensioni/voti degli spettatori | Notifiche su nuove uscite o promozioni | Storico delle tue visite | Raccomandazioni personalizzate | Abbonamenti o card fedeltà | Comunità di recensioni e liste condivise (Watchlist locali) (vedere cosa guardano/consigliano i tuoi amici o gli spettatori della tua città) | Possibilità di votare e proporre rassegne o vecchi film da riportare in sala (coinvolgimento diretto del pubblico nella programmazione) | Alert last-minute per film in scadenza (“ultimi giorni di programmazione nella tua zona”) | Contenuti esclusivi post-visione sbloccati col biglietto (es. interviste ai registi, dietro le quinte, curiosità no-spoiler da leggere all’uscita) | Altro (specifica);Randomizzare l'ordine delle opzioni ad ogni somministrazione;Misurare la rilevanza percepita di ogni funzionalità per prioritizzare il backlog;Aggiungere funzionalità 'bait' non pianificate (es. 'storico visite', 'raccomandazioni') per scoprire bisogni latenti. Usare etichette esplicite sui poli (non solo numeri). Limitare la matrice a max 12 item per evitare 'straight-lining' (risposta meccanica senza riflessione).;
Q11C;Comportamento d'acquisto;Scelta multipla;Acquisti online o in presenza? Perché? (come acquisti i biglietti d'ingresso);Come acquisti solitamente i biglietti? (seleziona tutte le modalità che usi);Checkbox (scelta multipla);Online sul sito del cinema/teatro | App dedicata (es. MYmovies, Ticketone) | Alla cassa la sera stessa | Telefono/email | Tramite abbonamento o card prepagata | Altro (specifica);;Mappare il canale di acquisto attuale per valutare la friction esistente e il potenziale di conversione digitale;Separare la domanda 'come' dalla domanda 'perché': sono due informazioni distinte. Usare checkbox per catturare comportamenti multi-canale reali. La domanda 'perché' deve essere una domanda aperta separata (Q12) per non contaminare i dati.;
Q11C_bis;Comportamento d'acquisto;Aperta;Perché? (motivazione alla modalità di acquisto);Qual è il motivo principale per cui preferisci questa modalità di acquisto?;Campo testo aperto (max 150 caratteri) opzionale;;Mostrare dopo Q11C per approfondire;Capire le motivazioni (convenience, abitudine, sfiducia nel digitale, ecc.) per identificare barriere e opportunità;Limitare a 150 caratteri per ottenere risposte concise e analizzabili. Questa domanda aperta è la più preziosa per la customer discovery: leggere ogni singola risposta manualmente nelle prime 50 interviste (non delegare a AI o sintesi automatica).;
Q12C;Percorso attuale;Aperta, opzionale;Quali sono i più rilevanti e qual è il percorso che le persone attualmente fanno per rispondere a questo/questi bisogni?;Descrivi brevemente i passi che fai tipicamente dalla decisione di uscire fino all'acquisto del biglietto. Cosa cerchi? Dove? Quanto ci metti?;Campo testo aperto (max 300 caratteri);;;Ricostruire il customer journey reale per identificare pain point e momenti di abbandono;Questa è la domanda più importante dell'intero questionario per la customer discovery. Strutturarla con sub-prompt: 'Cosa fai prima? E poi? Dove vai?'. Considerare di fare questa domanda in un'intervista 1:1 invece che in survey: le risposte aperte in survey tendono ad essere superficiali.;
Q13C;Funzionalità desiderate;Aperta, opzionale;Una parte aperta per delle funzioni che le persone vorrebbero vedere;C'è qualcosa che ti piacerebbe trovare in un servizio per scegliere o prenotare cinema/teatro che oggi non esiste o funziona male?;Campo testo aperto (max 300 caratteri);;;Raccogliere idee non anticipate e segnali di bisogni latenti;Formulare come 'cosa funziona male oggi' anziché 'cosa vorresti': le persone descrivono meglio i problemi che le soluzioni. Analizzare con word cloud o affinity mapping. È la fonte principale di insight per feature non pianificate.;
Q14C;Accessibilità (segmento B2B/associazioni);Scelta singola + aperta;A chi? Associazioni legate all'accessibilità di persone disabili;Hai o accompagni qualcuno con esigenze di accessibilità specifiche a teatro? (seleziona tutto ciò che si applica);Checkbox + campo aperto;Sì, esigenze motorie (sedia a rotelle, difficoltà deambulazione) | Sì, ipoudente o non udente (necessito loop magnetico o interpretazione LIS) | Sì, ipovedente o non vedente (necessito audiodescrizione) | Sì, disabilità cognitiva o autismo (necessito di ambienti e comunicazioni adattate) | No, ma accompagno regolarmente qualcuno con queste esigenze | No, nessuna esigenza specifica | Altro (specifica);;Identificare il segmento accessibilità come possibile beachhead B2C e touchpoint con associazioni B2B;Questo segmento è strategicamente sottovalutato: in Italia oltre 3 milioni di persone hanno disabilità motorie e l'offerta digitale di info sull'accessibilità delle sale è quasi assente. Può essere un beachhead market verticale con alto NPS potenziale e bassa concorrenza. Usare come porta d'accesso per accordi B2B con associazioni (ENS, UICI, FISH).;
Q15T;Comportamento (Teatro);Scelta singola;La frequenza con cui vai al cinema (copiata dal modulo cinema, non adattata);Con che frequenza hai assistito a spettacoli teatrali (di qualsiasi tipo) nell'arco degli ultimi 12 mesi? ;Radio button;Più di 10 spettacoli a stagione | 6–10 spettacoli | 3–5 spettacoli | 1–2 spettacoli | Meno di una volta l'anno | Non vado a teatro;;Segmentare heavy users (abbonati, >6 spettacoli) da casual e lapsed audience per targeting differenziato;La scala settimanale usata per il cinema è inappropriata per il teatro: la stagione teatrale è il'unità di misura naturale (sett–mag). Chi va >6 volte è quasi certamente un abbonato e ha bisogni radicalmente diversi dal casual user. Questo split è il primo segmento da esplorare. Aggiungere 'Non vado a teatro' permette di studiare le barriere di non-consumo, spesso più utili delle preferenze dei già-fruitori.;
Q16T;Comportamento (Teatro);Scelta multipla;Frequenti più cinema (quanti)? — versione teatro non adattata;Come ti relazioni abitualmente con le realtà teatrali che segui? (seleziona tutto ciò che si applica);Checkbox + campo aperto;Vado sempre allo stesso teatro | Frequento 2–3 teatri diversi | Vario molto, in base allo spettacolo | Teatro stabile/nazionale | Teatro privato/off | Teatri di altre città (trasferta per vedere uno spettacolo) | Sono socio/a di un'associazione culturale o APS che organizza spettacoli | Seguo una o più compagnie specifiche e vado dove si esibiscono | Ho una tessera di uno spazio teatrale off o multidisciplinare | Acquisto biglietti singoli volta per volta, senza un rapporto fisso | Partecipo principalmente a festival o rassegne | Mi faccio coinvolgere da amici o conoscenti | Altro (specifica);Randomizzare l'ordine delle opzioni ad ogni somministrazione;"Capire fedeltà alla struttura vs. orientamento allo spettacolo/compagnia; individuare il segmento 'spettatore viaggiante'";Nel teatro la fedeltà funziona diversamente dal cinema: molti abbonati sono mono-teatro per abitudine o per logistica, ma si spostano anche per artisti specifici. Il segmento 'trasferta per spettacolo' (es. chi va a Venezia per la Biennale Teatro o a Bologna per l'Opera) è una nicchia con alta spesa media e bisogno acuto di info integrate (hotel, trasporti, ristoranti post-spettacolo). Potenziale verticale B2C ad alto ARPU.;
Q17T;Comportamento (Teatro indipendente/off);Scelta singola;Quanti di questi spettacoli erano in teatri indipendenti, teatri off o rassegne diffuse?;Quanti di questi spettacoli erano organizzati da associazioni, piccole compagnie o collettivi, teatri off o rassegne diffuse?;Radio button;Tutti | più della metà | meno della metà | nessuno;;"Misurare la frequenza reale su un orizzonte annuale irregolare (non stagionale) tipico del teatro off; separare gli interessati latenti dai profili fuori target";Il teatro indipendente non ha una 'stagione' formale ottobre–maggio: programma in modo irregolare, su festival, rassegne, ospitalità. La domanda deve riferirsi all'anno solare, non alla stagione. Includere 'Nessuna, ma mi interessa' è strategico: questo segmento (audience latente) è il più facile da convertire e il più interessante per un prodotto di discovery. Il calo del 25% di partecipazione 2015–2022 (Censis) si concentra proprio tra gli under 30 — un pubblico potenzialmente interessato ma non raggiunto [fonte: Teatro Torpignattara/Censis 2022].;
Q18T;Comportamento (Teatro indipendente/off);Scelta multipla;Hai un abbonamento stagionale a uno o più teatri?;Come ti relazioni abitualmente con le realtà teatrali che segui? (seleziona tutto ciò che si applica);Checkbox (scelta multipla) + campo aperto;Sono socio/a di un'associazione culturale o APS che organizza spettacoli | Seguo una o più compagnie specifiche e vado dove si esibiscono | Ho una tessera di uno spazio teatrale off o multidisciplinare | Acquisto biglietti singoli volta per volta, senza un rapporto fisso | Partecipo principalmente a festival o rassegne | Mi faccio coinvolgere da amici o conoscenti | Altro (specifica);;Sostituire il concetto di 'abbonamento stagionale' con modelli di appartenenza tipici del teatro off: tessera APS, loyalty alla compagnia, partecipazione a festival;Nel teatro indipendente l'abbonamento istituzionale quasi non esiste. Il modello dominante è la tessera associativa (obbligatoria per le APS/ASD che gestiscono spazi non classificati come sale teatrali) o la loyalty alla compagnia itinerante. Questo dato è cruciale per il B2B: le APS sono i principali aggregatori di pubblico nel teatro off e possono diventare distributori del prodotto verso i loro soci. In Italia esistono circa 1.200 teatri attivi, la maggioranza gestiti da associazioni culturali [fonte: ISTAT/Teatro Torpignattara 2025].;
Q19T;Comportamento (Teatro);Scelta singola;(domanda aggiuntiva non presente nel modulo cinema);Hai un abbonamento stagionale a uno o più teatri?;Radio button;Sì, ho un abbonamento fisso (stessa poltrona) | Sì, ho un abbonamento flessibile (scelgo gli spettacoli) | No, ma ce l'ho avuto in passato | No, ma mi piacerebbe se ci fossero opzioni adatte alle mie esigenze | No, acquisto sempre biglietti singoli;;Identificare la modalità di fruizione dominante e il potenziale di digital conversion per gli abbonamenti;Questa è la domanda più discriminante per il teatro: l'abbonato fisso è un heavy user con alta fedeltà ma gestione ancora prevalentemente analogica (rinnovo in cassa, cambio data per telefono). È il profilo con il più alto potenziale di valore per una piattaforma digitale. La ricerca JCA/Spektrix mostra che gli abbonamenti flessibili hanno tassi di presenza dell'85-88% vs il 68% degli abbonamenti fissi post-pandemia: dato rilevante per un eventuale prodotto di loyalty management.;
Q20T;Criteri di scelta (Teatro);Ranking;Quali sono le cose che valuti maggiormente quando scegli dove andare al cinema? — non adattata per teatro;Quando scegli uno spettacolo teatrale, quali fattori influenzano la decisione? Seleziona fino a 4 e mettili in ordine di importanza.;Drag-and-drop ranking (o checkbox max 4 con priorità 1°/2°/3°/4°);La compagnia, il regista o gli attori | Il genere (prosa, opera, musical, danza, contemporaneo) | La programmazione stagionale complessiva del teatro | Il prezzo del biglietto o il tipo di abbonamento | L'acustica e la visibilità dei posti | La qualità e il prestigio del teatro | Accessibilità (disabili, trasporti pubblici) | Vicinanza a casa o lavoro | Facilità di trovare informazioni sullo spettacolo | Orari compatibili con i miei impegni | Il consiglio di amici o critici | Abitudine (vado sempre lì) | Altro (specifica);Randomizzare l'ordine delle opzioni ad ogni somministrazione;Separare il driver 'spettacolo/artista' dal driver 'teatro/luogo': sono due orientamenti opposti che determinano strategie di prodotto diverse;La differenza cruciale rispetto al cinema è che nel teatro il contenuto (compagnia, regista, cast) spesso domina sul contenitore (teatro). La ricerca sul pubblico teatrale italiano (Min. Cultura, 2002) conferma che la compagnia è il primo driver per gli spettatori under 45, mentre il teatro-istituzione è il driver dominante per gli abbonati over 55. Questo split genera due personas radicalmente diverse. Aggiungere 'il consiglio di critici' che nel teatro pesa molto più che nel cinema.;
Q21T;Criteri di scelta (Teatro);Matrice Likert 5 punti;Come reperisci le informazioni su cinema/teatro? — opzioni non adattate per teatro;Con quale frequenza usi questi canali per informarti su spettacoli teatrali? (1=Mai, 5=Sempre);Matrice Likert 1–5 (Mai | Raramente | A volte | Spesso | Sempre);Sito web del teatro | Newsletter del teatro | Bollettino/brochure stagionale cartacea | Critica teatrale su giornali e riviste | Social media del teatro (Instagram, Facebook) | Passaparola da amici o conoscenti | Associazioni culturali (Arci, TCI, Coop) | Ricerca Google generica | App di biglietteria (Ticketone, Vivaticket) | Podcast o blog teatrali | Manifesti e locandine fisiche | Altro (specifica);Randomizzare l'ordine delle opzioni ad ogni somministrazione;Mappare i touchpoint informativi specifici del teatro, molto diversi dal cinema: newsletter e stampa specializzata dominano su social e app;Nel teatro la newsletter del teatro è il canale primario per gli abbonati — un dato strutturalmente diverso dal cinema. La brochure stagionale cartacea è ancora molto usata (pubblico mediamente più anziano e con abitudini consolidate). L'assenza di aggregatori come MYmovies rende Google+sito del teatro il percorso predefinito, generando una friction alta: è qui che il prodotto può inserirsi. Usare la matrice di frequenza invece di 'max 2 selezioni' per catturare la complessità dei comportamenti multi-canale.;
Q22T;Criteri di scelta (Teatro);Scelta singola forzata + aperta opzionale;Qual è per te il fattore più importante nella scelta di un cinema? — non adattata per teatro;Se dovessi scegliere UN SOLO fattore decisivo tra i seguenti, quale ti spinge davvero ad acquistare un biglietto a teatro?;Radio button;Un artista o una compagnia che ammiro | Un genere che mi appassiona | Una programmazione stagionale completa che soddisfa i miei gusti | Il rapporto qualità-prezzo (biglietto singolo o abbonamento conveniente) | La comodità logistica (vicinanza, orari, parcheggio) | Il prestigio o la storia del teatro | L'accessibilità per me o per chi mi accompagna | Il consiglio di una persona di fiducia;;Isolare il singolo value driver per la decisione di acquisto, distinguendo orientamento allo spettacolo vs al teatro;Questa domanda forzata rivela il reale driver di conversione e permette di capire se il prodotto deve essere uno 'spettacolo-finder' (orienta al contenuto) o un 'teatro-advisor' (orienta alla struttura). Sono due posizionamenti strategici completamente diversi con implicazioni sul modello di monetizzazione B2B (accordi con compagnie vs accordi con teatri). Analizzare la distribuzione delle risposte come primo input per la proposta di valore.;
Q22T_bis;Criteri di scelta;Aperta, opzionale;Qual è per te il fattore più importante nella scelta di un cinema?;descrivi in una breve frase il perché;campo aperto opzionale;campo 'Descrivi in una frase il perché';Mostrare dopo Q22T per approfondire il fattore principale;;Questa domanda forzata rivela il reale driver di conversione e permette di capire se il prodotto deve essere uno 'spettacolo-finder' (orienta al contenuto) o un 'teatro-advisor' (orienta alla struttura). Sono due posizionamenti strategici completamente diversi con implicazioni sul modello di monetizzazione B2B (accordi con compagnie vs accordi con teatri). Analizzare la distribuzione delle risposte come primo input per la proposta di valore.;
Q23T;Rilevanza funzionalità (Teatro);Matrice Likert 5 punti;Elenco delle funzioni: quanto le persone le ritengono rilevanti (scala Likert a 5 punti) — lista generica, non specifica per teatro;Quanto ti sarebbe utile ciascuna delle seguenti funzionalità in un'app / servizio digitale per scoprire e prenotare spettacoli teatrali? (1=Per niente utile, 5=Indispensabile);Matrice Likert 1–5 con etichette: Per niente utile | Poco utile | Abbastanza utile | Molto utile | Indispensabile;Calendario unico con la programmazione dei teatri e le date in tour delle compagnie | Sinossi, note di regia e contesto storico | Scheda dettagliata di compagnia, cast e regista (con foto e trailer) | Durata dello spettacolo e presenza dell’intervallo | Info pratiche e logistiche sullo spazio (come arrivare, parcheggio, capienza) | Info dettagliate sull’accessibilità (barriere architettoniche, loop magnetico, LIS) | Mappa visiva dei posti in sala con info su visibilità e acustica | Mappa geolocalizzata dei teatri e degli spazi culturali off della zona | Acquisto o prenotazione integrata di biglietti e tessere associative | Gestione abbonamenti online (rinnovo, cambio data, cessione posto) | Notifiche personalizzate (nuove date, variazioni di programma, cancellazioni) | Raccomandazioni per scoprire nuovi spettacoli o compagnie simili | Critiche della stampa e recensioni degli spettatori | Info su laboratori, residenze o eventi collaterali | Possibilità di condividere gli eventi e invitare amici | Storico degli spettacoli visti (diario teatrale personale);Randomizzare l'ordine delle opzioni ad ogni somministrazione;Misurare la rilevanza percepita di feature teatro-specifiche per prioritizzare il backlog di sviluppo;La mappa visiva dei posti è la feature più differenziante rispetto al cinema: nel teatro la visibilità cambia drasticamente per posizione e quasi nessun sito la fornisce adeguatamente. La gestione abbonamento online è il dolore più acuto per gli heavy users (cambio data per telefono è ancora standard). Le note di regia e il contesto storico rispondono a un bisogno di 'preparazione alla fruizione' molto più forte nel teatro che nel cinema. Inserire come 'funzione bait' la 'club pre-spettacolo' (talk con artisti, aperitivo) per testare la dimensione esperienziale.;
Q24T;Rilevanza funzionalità (Teatro) – funzioni bait;Matrice Likert 5 punti;(funzioni latenti non incluse nella versione originale);Quanto useresti ciascuno di questi servizi? (1=Per niente utile, 5=Indispensabile);Matrice Likert 1–5;Talk pre e post spettacolo con gli artisti (dal vivo o in streaming) | Percorsi di approfondimento tematico (video, letture, podcast) e archivio digitale degli spettacoli passati | Gruppo o community di spettatori per condividere l’agenda (“chi viene con me?”) e scambiarsi feedback | Profilo pubblico della compagnia con bio, archivio e prossime date | Possibilità di lasciare un feedback o un commento diretto alla compagnia | Bacheca con laboratori, workshop e residenze artistiche aperte al pubblico | Suggerimenti di ristoranti, locali o convenzioni vicino allo spazio teatrale | Allerta prezzi last minute, posti liberati e opzioni “porta un amico” (biglietto scontato o +1) | Storico degli spettacoli visti (il mio diario teatrale) | Biglietti e tessere digitali con QR code direttamente in app | Abbonamento mensile/annuale condiviso per accedere a tutte le compagnie di un circuito o rete;Randomizzare l'ordine delle opzioni ad ogni somministrazione;Scoprire bisogni latenti e opportunità di monetizzazione non pianificate (community, esperienze, upsell);Queste 'funzioni bait' testano aree adiacenti al core product: la dimensione community/social è quasi assente nell'offerta attuale dei teatri e risponde a un bisogno di appartenenza forte nel pubblico teatrale (spesso molto fidelizzato). 'Allerta last minute' intercetta chi non può pianificare in anticipo (fascia 25–34) e potrebbe allargare la base utenti. Il 'diario teatrale' ha altissimo engagement potenziale e genera dati comportamentali preziosi per la personalizzazione.;
Q25T;Comportamento d'acquisto (Teatro);Scelta multipla;Come acquisti solitamente i biglietti? — opzioni non adattate per teatro (es. MYmovies non è rilevante);Come acquisti solitamente i biglietti o gli abbonamenti a teatro? (seleziona tutte le modalità che usi);Checkbox (scelta multipla);Abbonamento stagionale rinnovato ogni anno in cassa | Abbonamento stagionale acquistato/rinnovato online | Biglietto singolo sul sito del teatro | Biglietto singolo tramite circuiti online (Ticketone, Vivaticket, Boxol) | Biglietto in cassa il giorno dello spettacolo o giorni prima | Per telefono o email alla biglietteria | Tramite associazione culturale (Arci, TCI, Coop, gruppo di acquisto) | Ingresso libero o a offerta libera | Tramite il datore di lavoro o convenzioni aziendali | Altro (specifica);;Mappare i canali di acquisto reali nel teatro italiano, dove l'analogico (cassa, telefono, associazioni) è ancora dominante rispetto al digitale;Il teatro italiano ha una penetrazione digitale molto più bassa del cinema: una quota rilevante di abbonati rinnova ancora fisicamente in cassa, spesso per abitudine o per il rapporto personale con la biglietteria. Il canale 'associazioni culturali' (Arci, TCI, CooP) è sottovalutato ma strategicamente importante: rappresenta un aggregatore B2B naturale. Differenziare abbonamento online da offline è critico: il delta tra i due misura la friction digitale attuale e il potenziale di conversione del prodotto.;
Q25T_bis;Comportamento d'acquisto (Teatro);Aperta, opzionale;Perché? (motivazione alla modalità di acquisto) — identica alla versione cinema;Qual è il motivo principale per cui usi questa modalità di acquisto? (es. abitudine, fiducia, comodità, rapporto con la biglietteria...);Campo testo aperto (max 150 caratteri);;Mostrare dopo Q25T;Capire se la modalità d'acquisto è guidata da abitudine, fiducia, relazione personale o friction digitale — driver molto diversi da quelli del cinema;Nel teatro la risposta tipica sarà 'rinnovo in cassa perché conosco la biglietteria da anni' o 'mi fido del teatro, non voglio intermediari'. Queste risposte rivelano che la barriera al digitale è relazionale, non tecnologica: il prodotto deve posizionarsi come estensione del rapporto col teatro, non come alternativa. Leggere manualmente le prime 50 risposte è obbligatorio — nessun pattern algoritmico sostituisce la lettura diretta in questa fase.;
Q26T;Percorso attuale (Teatro);Aperta, opzionale;Descrivi come decidi di andare a vedere uno spettacolo: quando inizi a cercare informazioni? Come scegli? Con quanto anticipo compri il biglietto?;Pensa all'ultima volta che sei andato/a a vedere uno spettacolo di teatro indipendente. Come hai saputo che esisteva? Come hai capito dove e quando andare? C'è stato un momento in cui hai quasi lasciato perdere?;Campo testo aperto (max 400 caratteri) + 3 sub-prompt: 'Come ho scoperto lo spettacolo:' | 'Come ho trovato le informazioni pratiche (luogo, orario, biglietto):' | 'Cosa avrebbe potuto farmi desistere:';;;Ricostruire il customer journey reale nel teatro off, spesso frammentato, informale e dipendente da canali non strutturati;Ancorare la domanda all'ultima esperienza concreta ('pensa all'ultima volta') invece che al comportamento generico produce risposte molto più specifiche e utili. I tre sub-prompt guidano l'utente attraverso i momenti chiave del journey senza lasciarlo nel vago. La domanda 'cosa avrebbe potuto farti desistere' è la più preziosa: nel teatro off i drop-off sono altissimi proprio per friction informativa (non trovo l'indirizzo, non so se devo prenotare, non capisco il meccanismo della tessera). Queste risposte alimentano direttamente il backlog di prodotto.;
